Employee_ID,Name,Age,City,Department,Education,Employment_Type,Experience_Years,Annual_Salary,Join_Date,Product,Category,Quantity,Unit_Price,Total_Sales,Order_Status,Performance_Score
E025,Person_025,26,Darwin,IT,PhD,Casual,2,90745,2026-08-14,Monitor,Computing,3,696,2088,Completed,83.4
E026,Person_026,53,Brisbane,Marketing,PhD,Casual,3,84240,2026-08-29,Monitor,Computing,1,488,488,Pending,85.9
E027,Person_027,31,Melbourne,Sales,Diploma,Part-time,13,135111,2026-08-07,Keyboard,Mobile,3,258,774,Completed,50.2
E028,Person_028,26,Sydney,Engineering,Bachelor,Casual,8,128507,2026-02-11,Tablet,Mobile,5,1801,9005,Pending,77.3
E029,Person_029,41,Canberra,IT,Bachelor,Part-time,17,121350,2026-02-07,Mouse,Accessories,1,1312,1312,Pending,84.1
E030,Person_030,60,Perth,IT,Master,Full-time,11,58473,2026-07-19,Headphones,Mobile,5,683,3415,Returned,51.2
E031,Person_031,39,Melbourne,Finance,Bachelor,Part-time,13,147548,2026-07-25,Tablet,Accessories,3,702,2106,Pending,60.0
E032,Person_032,47,Perth,Finance,PhD,Part-time,9,90830,2026-07-30,Phone,Accessories,2,146,292,Completed,98.3
E033,Person_033,35,Adelaide,Data Science,PhD,Full-time,17,91025,2026-05-11,Mouse,Computing,1,522,522,Completed,79.8
E034,Person_034,40,Perth,Marketing,Bachelor,Casual,10,140491,2026-04-22,Headphones,Electronics,4,2411,9644,Returned,50.1
E035,Person_035,52,Melbourne,Sales,PhD,Casual,6,135027,2026-04-04,Mouse,Electronics,3,1335,4005,Cancelled,83.3
E036,Person_036,38,Brisbane,HR,PhD,Part-time,9,97743,2026-05-22,Monitor,Accessories,4,1602,6408,Completed,65.2
E037,Person_037,31,Darwin,Sales,Master,Casual,13,101346,2026-06-05,Tablet,Computing,4,1859,7436,Returned,89.7
E038,Person_038,28,Adelaide,Data Science,Master,Full-time,2,131356,2026-03-14,Headphones,Computing,1,1012,1012,Completed,52.3
E039,Person_039,48,Hobart,Data Science,Master,Casual,2,125120,2026-04-27,Mouse,Accessories,4,2074,8296,Completed,94.6
E040,Person_040,24,Perth,IT,Bachelor,Part-time,6,147029,2026-02-26,Monitor,Mobile,1,2333,2333,Pending,90.1
E041,Person_041,60,Hobart,IT,Diploma,Full-time,17,114616,2026-06-02,Keyboard,Mobile,5,2117,10585,Returned,72.5
E042,Person_042,33,Darwin,Engineering,PhD,Full-time,8,128579,2026-07-16,Phone,Mobile,2,1174,2348,Cancelled,66.8
E043,Person_043,52,Melbourne,Finance,Diploma,Part-time,4,55561,2026-02-08,Monitor,Mobile,2,926,1852,Returned,70.8
E044,Person_044,31,Darwin,Engineering,PhD,Part-time,12,100069,2026-08-20,Phone,Electronics,5,1608,8040,Returned,92.7
E045,Person_045,44,Adelaide,Finance,Diploma,Full-time,17,115545,2026-07-24,Headphones,Accessories,4,948,3792,Returned,66.8
E046,Person_046,43,Sydney,Finance,Bachelor,Full-time,5,139919,2026-08-04,Mouse,Accessories,5,2237,11185,Returned,56.8
E047,Person_047,47,Canberra,Marketing,Diploma,Part-time,1,68819,2026-03-08,Mouse,Computing,2,1912,3824,Returned,62.6
E048,Person_048,23,Melbourne,IT,Bachelor,Full-time,0,106644,2026-07-11,Headphones,Electronics,3,968,2904,Pending,60.0
E049,Person_049,19,Perth,Finance,PhD,Part-time,1,126439,2026-03-03,Monitor,Mobile,1,2360,2360,Pending,80.3
E050,Person_050,25,Hobart,Finance,Master,Full-time,5,146946,2026-03-21,Laptop,Electronics,3,2408,7224,Pending,55.1
E051,Person_051,37,Hobart,Sales,PhD,Full-time,19,134687,2026-07-26,Laptop,Electronics,3,2232,6696,Cancelled,50.6
E052,Person_052,44,Brisbane,Sales,PhD,Casual,3,109251,2026-04-21,Keyboard,Mobile,2,1833,3666,Returned,73.2
E053,Person_053,55,Perth,IT,Diploma,Casual,10,80179,2026-08-07,Monitor,Electronics,3,1896,5688,Returned,66.8
E054,Person_054,49,Adelaide,HR,PhD,Casual,5,87600,2026-05-05,Monitor,Computing,3,1444,4332,Completed,75.8
E055,Person_055,30,Darwin,Sales,Diploma,Part-time,7,56221,2026-07-04,Mouse,Mobile,5,1034,5170,Completed,54.7
E056,Person_056,32,Canberra,Finance,PhD,Part-time,7,98005,2026-03-20,Tablet,Computing,4,2317,9268,Returned,63.5
E057,Person_057,34,Brisbane,Data Science,Master,Casual,3,75217,2026-07-04,Monitor,Computing,1,2244,2244,Returned,63.8
E058,Person_058,55,Perth,Marketing,Master,Part-time,16,144641,2026-06-02,Keyboard,Electronics,2,1263,2526,Completed,85.4
E059,Person_059,26,Melbourne,IT,Bachelor,Casual,1,80954,2026-01-14,Headphones,Computing,2,2060,4120,Cancelled,73.5
E060,Person_060,46,Hobart,Finance,Bachelor,Casual,5,89657,2026-01-14,Keyboard,Mobile,1,317,317,Completed,57.6
E061,Person_061,54,Perth,IT,Diploma,Part-time,2,84824,2026-03-05,Laptop,Mobile,5,2491,12455,Returned,64.9
E062,Person_062,55,Perth,Sales,Master,Part-time,9,101207,2026-05-26,Headphones,Electronics,5,456,2280,Completed,57.9
E063,Person_063,29,Darwin,Marketing,Bachelor,Full-time,2,117350,2026-02-10,Laptop,Mobile,4,2482,9928,Cancelled,85.3
E064,Person_064,47,Perth,Sales,Master,Part-time,7,54329,2026-08-25,Keyboard,Accessories,4,520,2080,Pending,53.6
E065,Person_065,28,Darwin,Sales,PhD,Casual,9,148891,2026-06-02,Tablet,Computing,4,559,2236,Returned,97.1
E066,Person_066,50,Adelaide,Engineering,Bachelor,Full-time,15,115776,2026-04-23,Laptop,Electronics,4,1370,5480,Completed,100.0
E067,Person_067,35,Darwin,Marketing,Master,Casual,1,120529,2026-07-15,Phone,Accessories,4,2175,8700,Returned,81.7
E068,Person_068,49,Brisbane,Marketing,Diploma,Casual,15,56959,2026-03-31,Mouse,Computing,3,478,1434,Returned,64.4
E069,Person_069,43,Canberra,Engineering,Diploma,Casual,17,144680,2026-01-10,Mouse,Electronics,3,1083,3249,Completed,82.9
E070,Person_070,52,Darwin,IT,Bachelor,Full-time,13,105552,2026-01-14,Monitor,Computing,5,2091,10455,Cancelled,77.5
E071,Person_071,36,Sydney,HR,Diploma,Full-time,15,102424,2026-02-01,Laptop,Accessories,2,1322,2644,Pending,99.6
E072,Person_072,25,Adelaide,Finance,Diploma,Part-time,3,105482,2026-06-15,Phone,Accessories,4,1245,4980,Pending,72.8
E073,Person_073,27,Hobart,Marketing,PhD,Full-time,6,95277,2026-08-24,Headphones,Accessories,1,1181,1181,Cancelled,86.3
E074,Person_074,55,Canberra,Marketing,Diploma,Part-time,15,121011,2026-08-10,Monitor,Mobile,5,2033,10165,Cancelled,93.5
E075,Person_075,33,Darwin,Sales,Diploma,Part-time,12,119946,2026-03-01,Phone,Mobile,1,1353,1353,Pending,74.8
E076,Person_076,20,Darwin,Engineering,Master,Part-time,2,61547,2026-06-01,Keyboard,Electronics,4,458,1832,Pending,53.7
E077,Person_077,34,Hobart,Marketing,Diploma,Casual,16,89375,2026-06-27,Mouse,Electronics,3,2235,6705,Completed,80.9
E078,Person_078,33,Melbourne,Finance,Master,Casual,9,127727,2026-02-28,Tablet,Electronics,4,453,1812,Cancelled,95.2
E079,Person_079,20,Perth,HR,Diploma,Casual,1,87516,2026-03-17,Keyboard,Computing,4,646,2584,Pending,58.5
E080,Person_080,23,Brisbane,Data Science,Diploma,Casual,5,124887,2026-06-08,Tablet,Accessories,4,2438,9752,Cancelled,73.0
E081,Person_081,60,Canberra,HR,PhD,Casual,14,46231,2026-08-19,Keyboard,Accessories,1,1859,1859,Returned,84.5
E082,Person_082,47,Hobart,HR,PhD,Casual,6,84599,2026-04-09,Phone,Mobile,1,1021,1021,Cancelled,99.6
E083,Person_083,36,Adelaide,IT,Master,Casual,12,47875,2026-03-12,Laptop,Electronics,5,2084,10420,Cancelled,61.0
E084,Person_084,30,Adelaide,IT,Diploma,Full-time,8,126381,2026-06-23,Phone,Accessories,1,211,211,Cancelled,86.6
E085,Person_085,23,Canberra,HR,PhD,Full-time,5,83680,2026-07-11,Mouse,Accessories,2,591,1182,Cancelled,95.7
E086,Person_086,48,Perth,IT,Diploma,Casual,10,83684,2026-07-25,Laptop,Mobile,1,626,626,Cancelled,54.5
E087,Person_087,43,Hobart,IT,PhD,Full-time,8,46824,2026-05-18,Laptop,Mobile,3,1123,3369,Pending,73.6
E088,Person_088,57,Adelaide,Sales,Diploma,Full-time,10,118584,2026-08-23,Headphones,Accessories,1,1951,1951,Pending,52.3
E089,Person_089,20,Hobart,Finance,PhD,Casual,2,84893,2026-01-30,Laptop,Accessories,5,605,3025,Returned,79.4
E090,Person_090,27,Adelaide,Engineering,PhD,Full-time,9,99379,2026-01-26,Phone,Mobile,5,1721,8605,Returned,72.2
E091,Person_091,33,Adelaide,Data Science,Bachelor,Part-time,3,92537,2026-06-25,Keyboard,Computing,1,1680,1680,Completed,83.1
E092,Person_092,59,Perth,Engineering,Master,Casual,19,128819,2026-01-06,Laptop,Computing,2,565,1130,Pending,90.7
E093,Person_093,32,Brisbane,HR,PhD,Full-time,4,88064,2026-07-21,Headphones,Electronics,3,642,1926,Completed,83.1
E094,Person_094,19,Sydney,Data Science,PhD,Full-time,0,62275,2026-04-02,Phone,Accessories,5,1376,6880,Pending,87.1
E095,Person_095,51,Melbourne,Finance,Master,Casual,2,59896,2026-05-02,Mouse,Computing,5,2481,12405,Completed,86.4
E096,Person_096,60,Hobart,Finance,Bachelor,Part-time,9,113347,2026-04-28,Tablet,Electronics,1,2011,2011,Returned,53.7
E097,Person_097,23,Canberra,Finance,PhD,Part-time,5,87219,2026-02-07,Laptop,Accessories,3,2447,7341,Returned,55.0
E098,Person_098,25,Perth,Finance,PhD,Part-time,7,130814,2026-08-13,Phone,Accessories,4,1899,7596,Returned,70.8
E099,Person_099,24,Darwin,Engineering,Bachelor,Full-time,6,85966,2026-03-22,Tablet,Computing,3,675,2025,Completed,71.6
E100,Person_100,41,Canberra,IT,Diploma,Casual,17,62054,2026-01-16,Headphones,Computing,1,1732,1732,Completed,98.4
E101,Person_101,56,Perth,IT,Bachelor,Part-time,11,85953,2026-01-27,Headphones,Accessories,2,2025,4050,Cancelled,55.7
E102,Person_102,35,Sydney,Data Science,PhD,Casual,7,120248,2026-07-26,Mouse,Electronics,5,1145,5725,Cancelled,96.1
E103,Person_103,40,Sydney,Engineering,Master,Part-time,5,45800,2026-08-11,Monitor,Mobile,1,631,631,Returned,72.7
E104,Person_104,28,Brisbane,IT,Bachelor,Casual,9,93503,2026-07-04,Keyboard,Electronics,1,687,687,Completed,63.6
E105,Person_105,60,Melbourne,Marketing,Diploma,Full-time,15,100576,2026-06-05,Mouse,Mobile,3,932,2796,Cancelled,83.9
E106,Person_106,55,Sydney,Engineering,Master,Part-time,16,108783,2026-06-20,Keyboard,Electronics,2,1668,3336,Pending,88.4
E107,Person_107,34,Brisbane,Finance,Master,Casual,10,82938,2026-01-31,Laptop,Mobile,4,769,3076,Cancelled,53.6
E108,Person_108,20,Hobart,Sales,Diploma,Part-time,0,102176,2026-04-28,Laptop,Computing,5,1808,9040,Completed,70.3
E109,Person_109,38,Melbourne,Data Science,Diploma,Casual,19,67527,2026-04-28,Phone,Computing,1,1838,1838,Returned,76.2
E110,Person_110,43,Melbourne,HR,Master,Part-time,10,85668,2026-02-26,Keyboard,Accessories,1,2140,2140,Cancelled,86.4
E111,Person_111,59,Brisbane,IT,Bachelor,Full-time,7,64358,2026-01-27,Monitor,Computing,2,760,1520,Returned,73.2
E112,Person_112,54,Darwin,Engineering,Diploma,Part-time,18,144598,2026-04-25,Tablet,Computing,3,668,2004,Cancelled,89.8
E113,Person_113,55,Sydney,Engineering,PhD,Part-time,11,52362,2026-05-10,Laptop,Computing,4,1901,7604,Completed,82.2
E114,Person_114,23,Sydney,Finance,Master,Part-time,5,125610,2026-05-10,Mouse,Mobile,5,2320,11600,Returned,75.1
E115,Person_115,21,Brisbane,Engineering,Master,Casual,3,104050,2026-07-27,Phone,Computing,1,2116,2116,Returned,99.5
E116,Person_116,51,Hobart,IT,PhD,Casual,19,113517,2026-02-10,Keyboard,Computing,3,1636,4908,Completed,89.5
E117,Person_117,59,Brisbane,Marketing,Bachelor,Casual,2,88863,2026-03-26,Laptop,Mobile,3,1082,3246,Pending,95.8
E118,Person_118,37,Hobart,Sales,PhD,Full-time,12,130990,2026-02-03,Headphones,Electronics,3,2339,7017,Completed,82.3
E119,Person_119,45,Canberra,IT,Diploma,Full-time,11,111648,2026-01-05,Keyboard,Computing,2,927,1854,Pending,100.0
E120,Person_120,27,Sydney,Sales,PhD,Casual,9,55114,2026-08-05,Phone,Electronics,5,2260,11300,Pending,79.9
E121,Person_121,27,Hobart,Marketing,Master,Part-time,5,66266,2026-08-01,Tablet,Accessories,4,228,912,Cancelled,87.6
E122,Person_122,46,Darwin,Finance,PhD,Part-time,17,75671,2026-03-03,Keyboard,Mobile,2,1556,3112,Returned,98.3
E123,Person_123,30,Melbourne,Sales,Bachelor,Part-time,4,124254,2026-08-12,Keyboard,Electronics,4,1570,6280,Completed,88.2
E124,Person_124,35,Darwin,Marketing,Bachelor,Part-time,16,103893,2026-02-07,Phone,Mobile,1,959,959,Completed,69.8
E125,Person_125,41,Melbourne,IT,PhD,Full-time,12,75903,2026-01-21,Keyboard,Accessories,1,1355,1355,Pending,51.9
E126,Person_126,48,Melbourne,Engineering,PhD,Full-time,4,136235,2026-07-14,Tablet,Mobile,4,71,284,Pending,77.4
E127,Person_127,56,Melbourne,Engineering,Master,Part-time,13,114176,2026-01-29,Phone,Computing,2,1283,2566,Returned,53.1
E128,Person_128,49,Hobart,Engineering,PhD,Full-time,17,123215,2026-01-05,Tablet,Accessories,2,1243,2486,Returned,59.4
E129,Person_129,60,Sydney,Sales,Diploma,Part-time,16,56221,2026-04-03,Laptop,Electronics,4,1975,7900,Cancelled,87.4
E130,Person_130,40,Brisbane,Engineering,PhD,Casual,2,148352,2026-03-30,Monitor,Electronics,5,1411,7055,Cancelled,90.7
